ticker,league,end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_open,yes_bid_close,yes_ask_open,yes_ask_close,volume,open_interest,implied_prob,odds_multiplier_yes,odds_multiplier_no,spread
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773957600,,,,,,,0.0,0.07,0.99,0.73,0.0,0.0,,,,0.6599999999999999
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773961200,,,,,,,0.07,0.08,0.73,0.55,0.0,0.0,,,,0.47000000000000003
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773964800,0.11,0.12,0.11,0.12,0.1129,,0.08,0.12,0.55,0.14,354.0,354.0,0.12,8.333333333333334,1.1363636363636365,0.020000000000000018
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773968400,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.11,0.14,0.13,147.0,397.0,0.14,7.142857142857142,1.1627906976744187,0.020000000000000004
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773972000,,,,,,0.14,0.11,0.12,0.13,0.13,0.0,397.0,,,,0.010000000000000009
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773975600,0.13,0.14,0.13,0.13,0.1329,0.14,0.12,0.12,0.13,0.13,186.0,583.0,0.13,7.692307692307692,1.1494252873563218,0.010000000000000009
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773979200,,,,,,0.13,0.12,0.12,0.13,0.13,0.0,583.0,,,,0.010000000000000009
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773982800,0.12,0.12,0.1,0.1,0.1035,0.13,0.12,0.1,0.13,0.11,121.0,704.0,0.1,10.0,1.1111111111111112,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773986400,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,8.0,712.0,0.11,9.090909090909092,1.1235955056179776,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773990000,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,93.0,805.0,0.11,9.090909090909092,1.1235955056179776,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773993600,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.11,5.0,810.0,0.1,10.0,1.1111111111111112,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1773997200,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,10.0,820.0,0.11,9.090909090909092,1.1235955056179776,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1774000800,0.11,0.11,0.1,0.1,0.1009,0.11,0.1,0.1,0.11,0.11,93.0,828.0,0.1,10.0,1.1111111111111112,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1774004400,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,5.0,828.0,0.11,9.090909090909092,1.1235955056179776,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1774011600,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.08,0.11,0.1,1.0,828.0,0.11,9.090909090909092,1.1235955056179776,0.020000000000000004
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1774015200,0.09,0.09,0.09,0.09,0.09,0.11,0.08,0.08,0.1,0.09,169.0,997.0,0.09,11.11111111111111,1.0989010989010988,0.009999999999999995
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1774018800,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.09,10.0,1007.0,0.09,11.11111111111111,1.0989010989010988,0.01999999999999999
KXATPMATCH-26MAR20DAMZVE-DAM,NCAA,1774022400,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.09,0.09,20.0,1027.0,0.09,11.11111111111111,1.0989010989010988,0.01999999999999999
