ticker,event_ticker,series_ticker,league,title,subtitle,yes_sub_title,no_sub_title,market_type,status,result,label_kind,label_usable,result_binary,settlement_value,last_price,yes_bid,yes_ask,no_bid,no_ask,implied_prob_close,odds_multiplier_yes,odds_multiplier_no,edge_yes,edge_no,volume,open_interest,spread,notional_value,open_time,close_time,expiration_time,settlement_ts,created_time,strike_type,floor_strike,cap_strike,functional_strike,can_close_early,rules_primary
KXNBAREB-26MAR21MIAHOU-MIANPOWELL24-3,KXNBAREB-26MAR21MIAHOU,,NBA,Norman Powell: 3+ rebounds,,Norman Powell: 3+,Norman Powell: 3+,binary,finalized,scalar,scalar,False,,0.61,0.63,0.0,1.0,0.0,1.0,0.63,1.5873015873015872,2.7027027027027026,,,37.0,37.0,1.0,1.0,2026-03-21T04:11:00Z,2026-03-22T04:15:45Z,2026-04-05T00:00:00Z,2026-03-22T04:21:21.040386Z,2026-03-21T04:01:22.627242Z,structured,2.5,,,True,"If Norman Powell records 3+ Rebounds in the Miami at Houston professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAREB-26MAR21MIAHOU-MIANPOWELL24-4,KXNBAREB-26MAR21MIAHOU,,NBA,Norman Powell: 4+ rebounds,,Norman Powell: 4+,Norman Powell: 4+,binary,finalized,scalar,scalar,False,,0.38,0.37,0.0,1.0,0.0,1.0,0.37,2.7027027027027026,1.5873015873015872,,,2298.0,2295.0,1.0,1.0,2026-03-21T04:11:00Z,2026-03-22T04:15:45Z,2026-04-05T00:00:00Z,2026-03-22T04:21:21.039202Z,2026-03-21T04:01:22.627242Z,structured,3.5,,,True,"If Norman Powell records 4+ Rebounds in the Miami at Houston professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAREB-26MAR21MIAHOU-MIANPOWELL24-8,KXNBAREB-26MAR21MIAHOU,,NBA,Norman Powell: 8+ rebounds,,Norman Powell: 8+,Norman Powell: 8+,binary,finalized,scalar,scalar,False,,0.05,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,1.0,2026-03-21T04:11:00Z,2026-03-22T04:15:45Z,2026-04-05T00:00:00Z,2026-03-22T04:21:21.038204Z,2026-03-21T04:01:22.627242Z,structured,7.5,,,True,"If Norman Powell records 8+ Rebounds in the Miami at Houston professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAREB-26MAR21MIAHOU-MIANPOWELL24-6,KXNBAREB-26MAR21MIAHOU,,NBA,Norman Powell: 6+ rebounds,,Norman Powell: 6+,Norman Powell: 6+,binary,finalized,scalar,scalar,False,,0.12,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,1.0,2026-03-21T04:11:00Z,2026-03-22T04:15:45Z,2026-04-05T00:00:00Z,2026-03-22T04:21:21.038084Z,2026-03-21T04:01:22.627242Z,structured,5.5,,,True,"If Norman Powell records 6+ Rebounds in the Miami at Houston professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAREB-26MAR21MIAHOU-MIANPOWELL24-2,KXNBAREB-26MAR21MIAHOU,,NBA,Norman Powell: 2+ rebounds,,Norman Powell: 2+,Norman Powell: 2+,binary,finalized,scalar,scalar,False,,0.76,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,1.0,2026-03-21T04:11:00Z,2026-03-22T04:15:45Z,2026-04-05T00:00:00Z,2026-03-22T04:21:21.037898Z,2026-03-21T04:01:22.627242Z,structured,1.5,,,True,"If Norman Powell records 2+ Rebounds in the Miami at Houston professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNCAAMB1HTOTAL-26MAR21VANNEB-81,KXNCAAMB1HTOTAL-26MAR21VANNEB,,NCAA,Vanderbilt vs Nebraska: First Half Total?,,Over 81.5 1H points scored,Over 81.5 1H points scored,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,120.0,116.0,0.01,1.0,2026-03-20T15:47:00Z,2026-03-22T04:15:34Z,2026-04-05T00:45:00Z,2026-03-22T04:21:40.999631Z,2026-03-20T15:27:26.579265Z,greater,81.5,,,True,"If the teams in the game collectively score more than 81.5 points in the 1st Half of the Vanderbilt vs Nebraska men's college basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNCAAMB1HTOTAL-26MAR21VANNEB-78,KXNCAAMB1HTOTAL-26MAR21VANNEB,,NCAA,Vanderbilt vs Nebraska: First Half Total?,,Over 78.5 1H points scored,Over 78.5 1H points scored,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,1090.0,1086.0,0.01,1.0,2026-03-20T15:47:00Z,2026-03-22T04:15:34Z,2026-04-05T00:45:00Z,2026-03-22T04:21:40.998606Z,2026-03-20T15:27:26.579265Z,greater,78.5,,,True,"If the teams in the game collectively score more than 78.5 points in the 1st Half of the Vanderbilt vs Nebraska men's college basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNCAAMB1HTOTAL-26MAR21VANNEB-72,KXNCAAMB1HTOTAL-26MAR21VANNEB,,NCAA,Vanderbilt vs Nebraska: First Half Total?,,Over 72.5 1H points scored,Over 72.5 1H points scored,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,11310.0,9238.0,0.01,1.0,2026-03-20T15:47:00Z,2026-03-22T04:15:33Z,2026-04-05T00:45:00Z,2026-03-22T04:21:40.997537Z,2026-03-20T15:27:26.579265Z,greater,72.5,,,True,"If the teams in the game collectively score more than 72.5 points in the 1st Half of the Vanderbilt vs Nebraska men's college basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNCAAMB1HTOTAL-26MAR21VANNEB-75,KXNCAAMB1HTOTAL-26MAR21VANNEB,,NCAA,Vanderbilt vs Nebraska: First Half Total?,,Over 75.5 1H points scored,Over 75.5 1H points scored,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,635.0,611.0,0.01,1.0,2026-03-20T15:47:00Z,2026-03-22T04:15:33Z,2026-04-05T00:45:00Z,2026-03-22T04:21:40.995361Z,2026-03-20T15:27:26.579265Z,greater,75.5,,,True,"If the teams in the game collectively score more than 75.5 points in the 1st Half of the Vanderbilt vs Nebraska men's college basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNCAAMB1HTOTAL-26MAR21VANNEB-69,KXNCAAMB1HTOTAL-26MAR21VANNEB,,NCAA,Vanderbilt vs Nebraska: First Half Total?,,Over 69.5 1H points scored,Over 69.5 1H points scored,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,44204.0,24172.0,0.010000000000000009,1.0,2026-03-20T15:47:00Z,2026-03-22T04:15:33Z,2026-04-05T00:45:00Z,2026-03-22T04:21:40.994672Z,2026-03-20T15:27:26.579265Z,greater,69.5,,,True,"If the teams in the game collectively score more than 69.5 points in the 1st Half of the Vanderbilt vs Nebraska men's college basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
